,,,,,,
,,,,,,
Le Tallec Damien,Def. Cen.,Montpellier,"5,4",3,16,82 %
,,,,,,
Beric Robert,Attaquant,Saint-Étienne,5,9,16,32 %
,,,,,,
Gradel Max-Alain,Attaquant,Toulouse,"5,3",11,16,95 %
,,,,,,
Draxler Julian,Mil. Off,Paris,"5,5",3,16,58 %
,,,,,,
Koubek Tomas,Gardien,Rennes,"5,3",0,16,84 %
,,,,,,
Pedro Mendes,Def. Cen.,Montpellier,"5,3",1,16,82 %
,,,,,,
Engels Björn,Def. Cen.,Reims,"5,3",1,16,87 %
,,,,,,
Jullien Christopher,Def. Cen.,Toulouse,5,1,16,89 %
,,,,,,
Tameze Adrien,Mil. Def.,Nice,"5,3",0,16,89 %
,,,,,,
Touré Abdoulaye,Mil. Def.,Nantes,"5,4",3,16,79 %
,,,,,,
Bourigeaud Benjamin,Mil. Off,Rennes,"5,1",6,16,74 %
,,,,,,
Hunou Adrien,Mil. Off,Rennes,"5,2",7,16,37 %
,,,,,,
Ajorque Ludovic,Attaquant,Strasbourg,"5,1",9,16,47 %
,,,,,,
Santamaría Baptiste,Mil. Def.,Angers,"5,2",1,16,97 %
,,,,,,
Zeki Çelik Mehmet,Def. Lat.,Lille,"5,2",1,16,89 %
,,,,,,
Dubois Léo,Def. Lat.,Lyon,"5,4",1,16,55 %
,,,,,,
Kehrer Thilo,Def. Lat.,Paris,"5,3",1,16,50 %
,,,,,,
Fulgini Angelo,Mil. Def.,Angers,5,4,16,47 %
,,,,,,
Reine-Adélaïde Jeff,Mil. Off,Angers,5,3,16,76 %
,,,,,,
Cafaro Mathieu,Mil. Off,Reims,"5,1",7,16,63 %
,,,,,,
Nordin Arnaud,Mil. Off,Saint-Étienne,"5,3",3,16,29 %
,,,,,,
Fàbregas Cesc,Mil. Off,Monaco,"4,8",1,15,34 %
,,,,,,
Perrin Loic,Def. Cen.,Saint-Étienne,"5,4",1,15,82 %
,,,,,,
Debuchy Mathieu,Def. Lat.,Saint-Étienne,"5,2",4,15,61 %
,,,,,,
Mandanda Steve,Gardien,Marseille,"5,3",0,15,82 %
,,,,,,
Falcao Radamel,Attaquant,Monaco,5,15,15,76 %
,,,,,,
Verratti Marco,Mil. Def.,Paris,"5,7",0,15,61 %
,,,,,,
Mexer,Def. Cen.,Rennes,"5,3",0,15,76 %
,,,,,,
Pallois Nicolas,Def. Cen.,Nantes,"5,1",2,15,63 %
,,,,,,
Paredes Leandro,Mil. Def.,Paris,"5,6",0,15,37 %
,,,,,,
Prcic Sanjin,Mil. Off,Strasbourg,"5,3",2,15,47 %
,,,,,,
Caillard Marc-Aurèle,Gardien,Guingamp,"5,5",0,15,55 %
,,,,,,
Rony Lopes,Mil. Off,Monaco,"5,2",2,15,58 %
,,,,,,
Traoré Bertrand,Attaquant,Lyon,"5,2",7,15,63 %
,,,,,,
Thomasson Adrien,Mil. Off,Strasbourg,"5,1",5,15,74 %
,,,,,,
Diego Carlos,Def. Cen.,Nantes,"5,2",1,15,92 %
,,,,,,
Lees-Melou Pierre,Mil. Off,Nice,"5,3",2,15,68 %
,,,,,,
Lopez Maxime,Mil. Off,Marseille,"5,3",1,15,66 %
,,,,,,
Aït Bennasser Youssef,Mil. Def.,Saint-Étienne,"5,5",0,15,61 %
,,,,,,
Gabriel,Def. Cen.,Lille,"5,8",1,15,29 %
,,,,,,
Kamara Boubacar,Def. Cen.,Marseille,"5,1",1,15,71 %
,,,,,,
Dani Alves,Def. Lat.,Paris,"5,4",1,14,50 %
,,,,,,
